gene,row
PLIN1,1476
PLK1,1477
PLTP,1478
PLXNA1,1479
PLXNB2,1480
PMAIP1,1481
PMS1,1482
PMS2,1483
POLB,1484
POLD1,1485
POLD2,1486
POLD3,1487
POLD4,1488
POLE,1489
POLE2,1490
POLE3,1491
POLE4,1492
POLL,1493
POLR2B,1494
POM121,1495
PORCN,1496
POT1,1497
PPARA,1498
PPARD,1499
PPARG,1500
PPBP,1501
PPFIBP1,1502
PPM1A,1503
PPM1B,1504
PPM1D,1505
PPP1CA,1506
PPP1CB,1507
PPP1CC,1508
PPP1R12A,1509
PPP2CA,1510
PPP2CB,1511
PPP2R1A,1512
PPP2R1B,1513
PPP2R5A,1514
PPP2R5B,1515
PPP2R5C,1516
PPP2R5D,1517
PPP2R5E,1518
PPP3CB,1519
PPP3CC,1520
PPP3R1,1521
PPP3R2,1522
PPP5C,1523
PRCC,1524
PRDX2,1525
PRDX5,1526
PRF1,1527
PRICKLE1,1528
PRICKLE2,1529
PRKAA1,1530
PRKAA2,1531
PRKACB,1532
PRKACG,1533
PRKAR1A,1534
PRKAR1B,1535
PRKAR2A,1536
PRKAR2B,1537
PRKCA,1538
PRKCB,1539
PRKCQ,1540
PRKCZ,1541
PRKDC,1542
PRKX,1543
PRL,1544
PRLR,1545
PROK2,1546
PROM1,1547
PRPF8,1548
PRRX1,1549
PSEN1,1550
PSIP1,1551
PSMA6,1552
PSMD11,1553
PSME3,1554
PTAFR,1555
PTCH2,1556
PTEN,1557
PTGES3,1558
PTGS1,1559
PTGS2,1560
PTK2,1561
PTK2B,1562
PTK6,1563
PTPN1,1564
PTPN11,1565
PTPN5,1566
PTPN6,1567
PTPN7,1568
PTPRB,1569
PTPRC,1570
PTPRD,1571
PTPRF,1572
PTPRJ,1573
PTPRM,1574
PTPRR,1575
PTPRU,1576
PTTG1,1577
PTTG2,1578
PTX3,1579
PWWP2A,1580
PXK,1581
PXN,1582
RABEP1,1583
RAC1,1584
RAC2,1585
RAC3,1586
RAD21,1587
RAD23A,1588
RAD23B,1589
RAD50,1590
RAD51,1591
RAD51B,1592
RAET1E,1593
RAET1G,1594
RAET1L,1595
RAF1,1596
RALA,1597
RALB,1598
RALBP1,1599
RANBP17,1600
RANBP2,1601
RAP1A,1602
RAP1B,1603
RAPGEF1,1604
RAPGEF2,1605
RARA,1606
RARB,1607
RASA1,1608
RASA2,1609
RASGRF1,1610
RASGRF2,1611
RASGRP1,1612
RASGRP2,1613
RASGRP3,1614
RASGRP4,1615
RASSF1,1616
RASSF5,1617
RBBP7,1618
RBL1,1619
RBL2,1620
RBM10,1621
RBM5,1622
RBX1,1623
RCHY1,1624
RECQL4,1625
REG3A,1626
REL,1627
RELA,1628
RELB,1629
RELN,1630
RELT,1631
RET,1632
RFC1,1633
RFC2,1634
RFC3,1635
RFC4,1636
RFC5,1637
RGS3,1638
RHEB,1639
RHOT1,1640
RICTOR,1641
RIPK1,1642
RIPK2,1643
RMI2,1644
RNF213,1645
RNF43,1646
ROBO2,1647
ROCK1,1648
ROCK2,1649
RPA1,1650
RPA2,1651
RPA3,1652
RPA4,1653
RPGR,1654
RPL10,1655
RPRM,1656
RPS6,1657
RPS6KA1,1658
RPS6KA2,1659
RPS6KA3,1660
RPS6KA4,1661
RPS6KA5,1662
RPS6KA6,1663
RPS6KB1,1664
RPS6KB2,1665
RPTOR,1666
RRAS,1667
RRAS2,1668
RRM2,1669
RRM2B,1670
RTEL1,1671
RTN4,1672
RUNX1T1,1673
RUVBL1,1674
RXRB,1675
RXRG,1676
RYR2,1677
S100A12,1678
S100A8,1679
S100A9,1680
S1PR3,1681
SAA1,1682
SAA4,1683
SAAL1,1684
SACS,1685
SBDS,1686
SCAI,1687
SCD,1688
SCD5,1689
SCG2,1690
SCP2,1691
SCUBE1,1692
SDC1,1693
SDC2,1694
SDC3,1695
SDC4,1696
SDHA,1697
SDHC,1698
SEC24D,1699
SEC31A,1700
SELENOS,1701
SELP,1702
SENP2,1703
SEPT5,1704
SEPT6,1705
SEPT9,1706
SERPINA1,1707
SERPINA3,1708
SERPINB5,1709
SERPINE1,1710
SESN1,1711
SESN2,1712
SESN3,1713
SETDB1,1714
SF3A3,1715
SF3B1,1716
SFN,1717
SFRP1,1718
SFRP2,1719
SFRP4,1720
SFRP5,1721
SGMS1,1722
SH2B3,1723
SH2D1A,1724
SH2D1B,1725
SH2D2A,1726
SH3BP2,1727
SHC1,1728
